director,show_id,directing_style,active_years
Tig Notaro,80151384,Drama,2010-Present
John Bridcut,80131167,Drama,2010-Present
Lance Bangs,80038335,Drama,2010-Present
Mike Fleiss,80011852,Drama,2010-Present
Barry Jenkins,80121348,Drama,2010-Present
Linda Mendoza,81011598,Drama,2010-Present
Aanand Rai,81005364,Drama,2010-Present
Sharon Grimberg,81076042,Drama,2010-Present
Akram Farouk,81035880,Drama,2010-Present
Christel Gibson,81103139,Drama,2010-Present
Andrew Stanton,70143369,Drama,2010-Present
Manav Shah,81096151,Drama,2010-Present
Antoine Fuqua,70259801,Drama,2010-Present
Jimmy Henderson,80990658,Drama,2010-Present
Jessica Yu,80133663,Drama,2010-Present
Kim Nguyen,80117082,Drama,2010-Present
Max Martini,81043473,Drama,2010-Present
Nila Madhab Panda,80091267,Drama,2010-Present
Ian Nelms,80182919,Drama,2010-Present
Hiroyuki Seshita,80115466,Drama,2010-Present
Lygia Barbosa da Silva,80142223,Drama,2010-Present
Osgood Perkins,80080768,Drama,2010-Present
Ken Kushner,81061407,Drama,2010-Present
Yolanda Ramke,80161216,Drama,2010-Present
Kagiso Lediga,80218111,Drama,2010-Present
Diego Enrique Osorno,80991872,Drama,2010-Present
Hernán Zin,81077863,Drama,2010-Present
Hernán Zin,81077851,Drama,2010-Present
Hernán Zin,81073590,Drama,2010-Present
Arthur Muhammad,81103108,Drama,2010-Present
Pedring A. Lopez,80236341,Drama,2010-Present
Sam Cullman,80191050,Drama,2010-Present
Francesco Imperato,81041271,Drama,2010-Present
Stefon Bristol,80216758,Drama,2010-Present
Brit McAdams,70083809,Drama,2010-Present
Steve Loter,80028529,Drama,2010-Present
Icíar Bollaín,70154110,Drama,2010-Present
Kate Melville,80998967,Drama,2010-Present
Aditya Vikram Sengupta,81038047,Drama,2010-Present
David Dhawan,60021906,Drama,2010-Present
Neil Burger,70142827,Drama,2010-Present
Dibakar Banerjee,70149579,Drama,2010-Present
Apoorva Lakhia,70109375,Drama,2010-Present
Milan Luthria,70289558,Drama,2010-Present
Mandie Fletcher,81085319,Drama,2010-Present
Michael Dowse,70117577,Drama,2010-Present
Vipul Amrutlal Shah,70158421,Drama,2010-Present
Rajkumar Santoshi,20258084,Drama,2010-Present
Mercedes Cordova,80233511,Drama,2010-Present
Antonio Campos,80097814,Drama,2010-Present
Derek Cianfrance,70241757,Drama,2010-Present
Ryan Polito,80133551,Drama,2010-Present
Meenu Gaur,81110388,Drama,2010-Present
Matthew Hope,80220311,Drama,2010-Present
Asim Abbasi,81110389,Drama,2010-Present
Saurabh Kabra,70111279,Drama,2010-Present
Aijaz Khan,81123050,Drama,2010-Present
Anil V. Kumar,70007056,Drama,2010-Present
Sangeeth Sivan,70035357,Drama,2010-Present
Umesh Ghadge,80108481,Drama,2010-Present
Milan Luthria,70153178,Drama,2010-Present
Apoorva Lakhia,70073018,Drama,2010-Present
Midhun Manuel Thomas,80994416,Drama,2010-Present
Neeraj Pandey,80243408,Drama,2010-Present
Umer Adil,80994418,Drama,2010-Present
Hayao Miyazaki,70050576,Drama,2010-Present
Nicolas Winding Refn,70253596,Drama,2010-Present
Rajiv Mehra,80157133,Drama,2010-Present
Robert Kenner,80107656,Drama,2010-Present
Kundan Shah,80157083,Drama,2010-Present
So Yong Kim,80098287,Drama,2010-Present
Alina Teodorescu,80059342,Drama,2010-Present
Rajiv Mehra,24081514,Drama,2010-Present
Filip Renc,80157564,Drama,2010-Present
Femi Oyeniran,80178078,Drama,2010-Present
David Morris,80104330,Drama,2010-Present
Gonzalo López-Gallego,81053958,Drama,2010-Present
Damián Romay,81094666,Drama,2010-Present
Abby Epstein,81016247,Drama,2010-Present
Savage Steve Holland,80223928,Drama,2010-Present
Tim Maltby,81065331,Drama,2010-Present
Jay Karas,80186940,Drama,2010-Present
Andy Tennant,80120740,Drama,2010-Present
Hepi Mita,81077874,Drama,2010-Present
Anthony Abrams,80117736,Drama,2010-Present
Dylan Bank,80114666,Drama,2010-Present
Sean Foley,80157866,Drama,2010-Present
Pierre Coré,80161029,Drama,2010-Present
Che Sandoval,81039410,Drama,2010-Present
Jean-Bernard Marlin,81012340,Drama,2010-Present
Yee Tung-Shing,70242536,Drama,2010-Present
Raúl Campos,80192065,Drama,2010-Present
Trey Borzillieri,80158319,Drama,2010-Present
Vince Marcello,80143556,Drama,2010-Present
Rajiv Chilaka,81092777,Drama,2010-Present
Sidheswar Shukla,81092779,Drama,2010-Present
Asit Mohapatra,81092776,Drama,2010-Present
Shyamal Chaulia,81092778,Drama,2010-Present
Patricia Font,80216541,Drama,2010-Present
Amy Poehler,80194950,Drama,2010-Present
Sachin Kundalkar,70261058,Drama,2010-Present
Puri Jagannadh,70204288,Drama,2010-Present
Krish,80057278,Drama,2010-Present
Shoojit Sircar,70293703,Drama,2010-Present
Ribhu Dasgupta,80165853,Drama,2010-Present
Geoff Anderson,80161108,Drama,2010-Present
Federico Veiroj,80082660,Drama,2010-Present
Robert Vince,80028359,Drama,2010-Present
Mark Zwonitzer,81076049,Drama,2010-Present
Bo Welch,60031264,Drama,2010-Present
Sedat Kirtan,81059956,Drama,2010-Present
Stacia Crawford,81094667,Drama,2010-Present
Michael Epstein,81069255,Drama,2010-Present
Sudipto Roy,81094083,Drama,2010-Present
Frédéric Tonolli,80208082,Drama,2010-Present
Rachel Lears,81080637,Drama,2010-Present
Emmanuel Amara,80197303,Drama,2010-Present
Syamsul Yusof,81049260,Drama,2010-Present
Nicholas Winter,81017593,Drama,2010-Present
Bong Joon Ho,70270364,Drama,2010-Present
Mangesh Kanthale,81093342,Drama,2010-Present
Kevin Munroe,70056441,Drama,2010-Present
Frank Oz,419733,Drama,2010-Present
Gary Young,81021631,Drama,2010-Present
Nicanor Loreti,80241044,Drama,2010-Present
Simon Napier-Bell,80213148,Drama,2010-Present
A. L. Vijay,80150390,Drama,2010-Present
Devashish Makhija,80993495,Drama,2010-Present
Amal Neerad,80192548,Drama,2010-Present
Fluvio Iannuci,80232894,Drama,2010-Present
Julius R. Nasso,80232330,Drama,2010-Present
Lucas Figueroa,80103425,Drama,2010-Present
Francis Lee,80170875,Drama,2010-Present
Shanker Raman,80990815,Drama,2010-Present
Rakshith Thirthahalli,80990816,Drama,2010-Present
C. Fitz,80990829,Drama,2010-Present
Alex Timbers,80238110,Drama,2010-Present
Damien Piscarel,80241876,Drama,2010-Present
Saandeep Patel,80990811,Drama,2010-Present
Justin G. Dyck,80224106,Drama,2010-Present
Arun Vaidyanathan,80206732,Drama,2010-Present
Pradip Kurbah,80990810,Drama,2010-Present
Alfonso Rodríguez,80235767,Drama,2010-Present
Guillermo Garcia,80236224,Drama,2010-Present
Makarand Mane,80990814,Drama,2010-Present
Pierfrancesco Diliberto,80245268,Drama,2010-Present
Priyadarshan,80228322,Drama,2010-Present
Sean Menard,80223149,Drama,2010-Present
Dito Montiel,80179373,Drama,2010-Present
Vicente Villanueva,80233962,Drama,2010-Present
Don Michael Paul,80233493,Drama,2010-Present
Anu Menon,80990813,Drama,2010-Present
Adrian Murray,80220531,Drama,2010-Present
Andy Goddard,80134149,Drama,2010-Present
K. Rajagopal,80115133,Drama,2010-Present
Atanu Ghosh,80176698,Drama,2010-Present
Supavitra Babul,80165848,Drama,2010-Present
Zoya Akhtar,70275753,Drama,2010-Present
Anthony D'Souza,70295762,Drama,2010-Present
Soumendra Padhi,80165849,Drama,2010-Present
Mahesh Bhatt,80158395,Drama,2010-Present
David Dhawan,70275774,Drama,2010-Present
Ken Burns,80103430,Drama,2010-Present
Fuwad Khan,80165850,Drama,2010-Present
Mike Birbiglia,80103372,Drama,2010-Present
Nishikant Kamat,80068117,Drama,2010-Present
Praveen Nischol,20764666,Drama,2010-Present
Dylan Mohan Gray,70268209,Drama,2010-Present
Kabir Sadanand,80165851,Drama,2010-Present
Shinji Aramaki,70129415,Drama,2010-Present
Justin Bare,80095094,Drama,2010-Present
Lucien Jean-Baptiste,80156763,Drama,2010-Present
Jalil Lespert,80156857,Drama,2010-Present
Sudhir Mishra,70268489,Drama,2010-Present
Edward Cotterill,80158588,Drama,2010-Present
Sean Cisterna,80178720,Drama,2010-Present
Sudhanshu Saria,80106505,Drama,2010-Present
Sarah Moshman,80169548,Drama,2010-Present
Omung Kumar,80015785,Drama,2010-Present
Bob Hercules,80097361,Drama,2010-Present
Munish Bhardwaj,80176716,Drama,2010-Present
Dilip Mehta,80132961,Drama,2010-Present
Satish Rajwade,80165857,Drama,2010-Present
Umesh Shukla,70258366,Drama,2010-Present
Devika Bhagat,80165732,Drama,2010-Present
Luv Ranjan,80165854,Drama,2010-Present
Luv Ranjan,80083589,Drama,2010-Present
Vikas Bahl,80032081,Drama,2010-Present
Dharmesh Darshan,17457962,Drama,2010-Present
Kireet Khurana,80182105,Drama,2010-Present
Bejoy Nambiar,80165855,Drama,2010-Present
Neeraj Pandey,70273637,Drama,2010-Present
Aanand Rai,70176968,Drama,2010-Present
Isaki Lacuesta,80173605,Drama,2010-Present
Gurmmeet Singh,80165856,Drama,2010-Present
Sangeeth Sivan,70308135,Drama,2010-Present
Nathan Landeg,80101903,Drama,2010-Present
Fernando González Molina,80093103,Drama,2010-Present
Yann Arthus-Bertrand,80102305,Drama,2010-Present
Gonzalo López-Gallego,70176655,Drama,2010-Present
Kazuya Murata,80161848,Drama,2010-Present
Mina Shum,80209796,Drama,2010-Present
Martin Zandvliet,80152434,Drama,2010-Present
Stephen Belber,70309693,Drama,2010-Present
Tony Stone,80107737,Drama,2010-Present
Cosmo Feilding-Mellen,80098305,Drama,2010-Present
Peter Foott,80152742,Drama,2010-Present
Raam Reddy,80107370,Drama,2010-Present
Majid Al Ansari,80095233,Drama,2010-Present
Woody Allen,70270362,Drama,2010-Present
Ibrahim Bin Mohamed,81074140,Drama,2010-Present
Clark Johnson,80184676,Drama,2010-Present
Emmanuel Mouret,81024044,Drama,2010-Present
Robert Rodriguez,60023618,Drama,2010-Present
Terry Gilliam,70113532,Drama,2010-Present
Robin Swicord,70074299,Drama,2010-Present
Conor Allyn,80995799,Drama,2010-Present
Uraaz Bahl,80219143,Drama,2010-Present
Frank Coraci,17687959,Drama,2010-Present
John Patrick Shanley,70100377,Drama,2010-Present
Haifaa Al-Mansour,80189630,Drama,2010-Present
Wenn V. Deramas,81010867,Drama,2010-Present
Olivia M. Lamasan,81010865,Drama,2010-Present
Antoinette Jadaone,81010874,Drama,2010-Present
Nuel Naval,80075018,Drama,2010-Present
Nicolás López,70260374,Drama,2010-Present
Paul Solet,80190180,Drama,2010-Present
Amy Schumer,80150002,Drama,2010-Present
Ian Kirby,80079265,Drama,2010-Present
Sean McNamara,80238080,Drama,2010-Present
Joe Camp,296682,Drama,2010-Present
Joe Camp,60037606,Drama,2010-Present
Joe Camp,516154,Drama,2010-Present
Michael Simon,80170187,Drama,2010-Present
Justin Chon,80174137,Drama,2010-Present
Aziz Ansari,80038296,Drama,2010-Present
David Sampliner,80011848,Drama,2010-Present
Adam Shankman,70100381,Drama,2010-Present
Chito S. Roño,70110919,Drama,2010-Present
Marc Forster,80221560,Drama,2010-Present
Keoni Waxman,80200961,Drama,2010-Present
Benny Fine,80214580,Drama,2010-Present
Mae Czarina Cruz,80085013,Drama,2010-Present
Onir,81077597,Drama,2010-Present
Paul Soriano,80049193,Drama,2010-Present
Wenn V. Deramas,70039783,Drama,2010-Present
Ruel S. Bayani,81010871,Drama,2010-Present
Peter Mortimer,81004270,Drama,2010-Present
Ben Wallis,80224924,Drama,2010-Present
Greg Coolidge,70051671,Drama,2010-Present
Iginio Straffi,80144408,Drama,2010-Present
Owen Egerton,81038545,Drama,2010-Present
"Sam ""Blitz"" Bazawule",81044496,Drama,2010-Present
Norm Hiscock,80235932,Drama,2010-Present
Joe Miale,80176592,Drama,2010-Present
Dheeraj Berry,80170381,Drama,2010-Present
Richard Sears,80142103,Drama,2010-Present
Nirpal Bhogal,80152842,Drama,2010-Present
Laurent Bouzereau,80049928,Drama,2010-Present
Brett Whitcomb,70296765,Drama,2010-Present
Lucy van Beek,80131168,Drama,2010-Present
Frank Capra,80119190,Drama,2010-Present
John Huston,80119187,Drama,2010-Present
Jakob Verbruggen,80048568,Drama,2010-Present
George Stevens,80119192,Drama,2010-Present
Frank Capra,60027945,Drama,2010-Present
John Huston,80119188,Drama,2010-Present
John Ford,60027942,Drama,2010-Present
Charlie McDowell,80115857,Drama,2010-Present
Michael Samuels,70281026,Drama,2010-Present
William Wyler,80119194,Drama,2010-Present
Stuart Heisler,80119191,Drama,2010-Present
William Wyler,80119193,Drama,2010-Present
Frank Capra,80119189,Drama,2010-Present
John Ford,80119186,Drama,2010-Present
Frank Capra,70013050,Drama,2010-Present
John Huston,70022548,Drama,2010-Present
Micah Bickham,80097423,Drama,2010-Present
Stuart Orme,70259177,Drama,2010-Present
Olivia Newman,80117458,Drama,2010-Present
Jared Stern,80143362,Drama,2010-Present
Yang Lei,80201200,Drama,2010-Present
Raúl Campos,80183197,Drama,2010-Present
Lennart Ruff,80148210,Drama,2010-Present
Mike Clattenburg,70128549,Drama,2010-Present
Mike Clattenburg,70069233,Drama,2010-Present
Adam MacDonald,80018336,Drama,2010-Present
Saurav Palodhi,80180509,Drama,2010-Present
Shawn Crahan,80145255,Drama,2010-Present
Michael Whitton,70230147,Drama,2010-Present
Steve Carr,80105067,Drama,2010-Present
Swapnaneel Jayakar,81033429,Drama,2010-Present
Kyzza Terrazas,80188579,Drama,2010-Present
Miguel Conde,80992232,Drama,2010-Present
Philippe Falardeau,80145533,Drama,2010-Present
John Lee Hancock,80200571,Drama,2010-Present
Theo Love,80999977,Drama,2010-Present
Eli Craig,70129463,Drama,2010-Present
Bart Freundlich,80170767,Drama,2010-Present
Shannon Hartman,80134826,Drama,2010-Present
Awi Suryadi,81047902,Drama,2010-Present
Hanung Bramantyo,81047897,Drama,2010-Present
Óskar Thór Axelsson,80216988,Drama,2010-Present
Dan Lucchesi,80213803,Drama,2010-Present
Vishal Mahadkar,80175623,Drama,2010-Present
Ryan Polito,81002880,Drama,2010-Present
Mikhail Red,80222896,Drama,2010-Present
Raj Babu,81038046,Drama,2010-Present
Rodolphe Guenoden,80101096,Drama,2010-Present
Javier Ruiz Caldera,80202809,Drama,2010-Present
Dan Fraga,80020132,Drama,2010-Present
Marina Willer,80206758,Drama,2010-Present
Diego Pignataro,80162210,Drama,2010-Present
Meghan O'Hara,80126485,Drama,2010-Present
Tommy O'Haver,80082242,Drama,2010-Present
Douglas McGrath,70202151,Drama,2010-Present
Chanon Yingyong,80999996,Drama,2010-Present
Kyle Newacheck,80169617,Drama,2010-Present
Mijke de Jong,80144454,Drama,2010-Present
Jorge Granier,70204282,Drama,2010-Present
Daryl Hannah,80242378,Drama,2010-Present
Michael Larnell,80171733,Drama,2010-Present
Advait Chandan,80245408,Drama,2010-Present
Abel Ferrara,80044566,Drama,2010-Present
Oriol Paulo,80991158,Drama,2010-Present
Stuart Sender,80191046,Drama,2010-Present
Jeff Tremaine,80169469,Drama,2010-Present
Paul Dugdale,80148239,Drama,2010-Present
Wenn V. Deramas,81010863,Drama,2010-Present
Joyce Bernal,80162503,Drama,2010-Present
Jason Paul Laxamana,80150350,Drama,2010-Present
Maryo J. De los Reyes,80160692,Drama,2010-Present
Chito S. Roño,70060865,Drama,2010-Present
Theodore Boborol,80157890,Drama,2010-Present
Gavin Fitzgerald,80164752,Drama,2010-Present
Juan Zapata,80135149,Drama,2010-Present
Stan Lathan,80171965,Drama,2010-Present
Gianfranco Rosi,80100945,Drama,2010-Present
Gianfranco Rosi,70293820,Drama,2010-Present
Oliver Daly,80195967,Drama,2010-Present
Luis Ara,81033107,Drama,2010-Present
Karan Shivajirao Chavan,81048554,Drama,2010-Present
Melinda Janko,80144983,Drama,2010-Present
Ram Gopal Varma,70105459,Drama,2010-Present
Tanuj Bhramar,80207444,Drama,2010-Present
Isao Yukisada,81033516,Drama,2010-Present
A.R. Murugadoss,81075235,Drama,2010-Present
A.R. Murugadoss,81072516,Drama,2010-Present
John Lee Hancock,70283202,Drama,2010-Present
Robin Swicord,80156212,Drama,2010-Present
Faraz Haider,70296742,Drama,2010-Present
Fritz Ofner,81059944,Drama,2010-Present
Mozez Singh,80095531,Drama,2010-Present
Raúl Campos,80192139,Drama,2010-Present
Raúl Campos,80192063,Drama,2010-Present
Robin Aubert,80218656,Drama,2010-Present
Brendan Toller,80095806,Drama,2010-Present
Kristian Levring,80013550,Drama,2010-Present
Mark Helenowski,80058979,Drama,2010-Present
Amy Schumer,81037077,Drama,2010-Present
Jonathan Ignatius Green,81054383,Drama,2010-Present
Sonny Marler,81047798,Drama,2010-Present
Taron Lexton,80189216,Drama,2010-Present
Robert Vince,80092781,Drama,2010-Present
Eva Vives,81019338,Drama,2010-Present
Lonny Price,80132964,Drama,2010-Present
Sang-ho Yeon,80117824,Drama,2010-Present
Jason Krawczyk,80058460,Drama,2010-Present
Sam Wrench,80076467,Drama,2010-Present
Sophie Robinson,80049951,Drama,2010-Present
John Lee,80031800,Drama,2010-Present
Richard Loncraine,80017171,Drama,2010-Present
Sydney Freeland,80108984,Drama,2010-Present
Ben Bowie,80135296,Drama,2010-Present
Jung-woo Park,80158577,Drama,2010-Present
Asghar Farhadi,70175439,Drama,2010-Present
Brandon Camp,80204923,Drama,2010-Present
Alison Klayman,80117831,Drama,2010-Present
Yoo Byung-jae,80223734,Drama,2010-Present
Victor Levin,70307848,Drama,2010-Present
Henry Selick,70105599,Drama,2010-Present
James Ivory,60029366,Drama,2010-Present
Gonzalo López-Gallego,80100260,Drama,2010-Present
Lone Scherfig,80017170,Drama,2010-Present
Mark Dindal,70028197,Drama,2010-Present
Pia Sukanya,81013990,Drama,2010-Present
Yann Gozlan,80171678,Drama,2010-Present
Niyi Akinmolayan,81074015,Drama,2010-Present
Francesco Imperato,81041273,Drama,2010-Present
Hoyt Yeatman,70108985,Drama,2010-Present
Lukas Dhont,81004374,Drama,2010-Present
Manny Rodriguez,70045356,Drama,2010-Present
Michael Simon,70203594,Drama,2010-Present
Manny Rodriguez,70253171,Drama,2010-Present
Michael Simon,70109657,Drama,2010-Present
Stephen Chow,70020728,Drama,2010-Present
Frank W Chen,81024308,Drama,2010-Present
Adrian Teh,81031178,Drama,2010-Present
Florian Henckel von Donnersmarck,70056425,Drama,2010-Present
Steven R. Monroe,81050198,Drama,2010-Present
Buz Wallick,81034771,Drama,2010-Present
Indrasis Acharya,80239442,Drama,2010-Present
Aatmaram Dharne,80238299,Drama,2010-Present
Sumitra Bhave,80201814,Drama,2010-Present
Sunao Katabuchi,80192244,Drama,2010-Present
Kedar Shinde,80235957,Drama,2010-Present
Johan Brisinger,80226021,Drama,2010-Present
Attila Till,80147758,Drama,2010-Present
Mahesh Manjrekar,80201608,Drama,2010-Present
Tim Bartley,80241537,Drama,2010-Present
Robyn Butler,80241616,Drama,2010-Present
John Upchurch,80239642,Drama,2010-Present
Deepika Narayan Bhardwaj,80239988,Drama,2010-Present
Israel Adrián Caetano,70041893,Drama,2010-Present
Girish Joshi,80238298,Drama,2010-Present
Aditya Sarpotdar,80238400,Drama,2010-Present
Arjun Gourisaria,80239738,Drama,2010-Present
Maria Sadowska,80237300,Drama,2010-Present
Santosh Sivan,60021758,Drama,2010-Present
Erik Canuel,70095265,Drama,2010-Present
Pascal Blanchard,80164075,Drama,2010-Present
Heidi Saman,80117240,Drama,2010-Present
Peter Middleton,80098842,Drama,2010-Present
Shashilal K. Nair,80156935,Drama,2010-Present
Jayaraj Rajasekharan Nair,80102080,Drama,2010-Present
Partho Sen-Gupta,80092884,Drama,2010-Present
Eric Drath,80023794,Drama,2010-Present
Sam Upton,81060041,Drama,2010-Present
Maryo J. De los Reyes,70090072,Drama,2010-Present
Olivia M. Lamasan,80145621,Drama,2010-Present
Joyce Bernal,80100268,Drama,2010-Present
Theodore Boborol,80206696,Drama,2010-Present
Cathy Garcia-Molina,81010870,Drama,2010-Present
Yang Woo-seok,80226234,Drama,2010-Present
Pan Nalin,80081274,Drama,2010-Present
Shannon Hartman,80134967,Drama,2010-Present
J.C. Chandor,80192187,Drama,2010-Present
John L. Spencer,80189653,Drama,2010-Present
Victor Cook,80135585,Drama,2010-Present
Brian Klein,80214087,Drama,2010-Present
Devin Chanda,80216664,Drama,2010-Present
Tekin Girgin,80017535,Drama,2010-Present
David Chirchirillo,80219917,Drama,2010-Present
Marianna Palka,80174144,Drama,2010-Present
Dennis Bartok,80220677,Drama,2010-Present
Kenneth Müller,80229829,Drama,2010-Present
Marcel Barrena,80141173,Drama,2010-Present
Burak Aksak,80134515,Drama,2010-Present
Hakan Algül,80134521,Drama,2010-Present
Gerard McMurray,80097003,Drama,2010-Present
Muharrem Gülmez,80134516,Drama,2010-Present
Ozan Açıktan,80134606,Drama,2010-Present
Meltem Bozoflu,80134518,Drama,2010-Present
Hakan Algül,80134330,Drama,2010-Present
Selçuk Aydemir,80038298,Drama,2010-Present
Selçuk Aydemir,80134500,Drama,2010-Present
Hakan Algül,80038353,Drama,2010-Present
Hakan Algül,80038354,Drama,2010-Present
Hakan Algül,80038439,Drama,2010-Present
Ömer Faruk Sorak,80038440,Drama,2010-Present
Şenol Sönmez,80134604,Drama,2010-Present
Ali Taner Baltacı,80134524,Drama,2010-Present
Sermiyan Midyat,80038355,Drama,2010-Present
Sermiyan Midyat,80038441,Drama,2010-Present
Aytaç Ağırlar,80134433,Drama,2010-Present
Burak Aksak,80134436,Drama,2010-Present
Kıvanç Baruönü,80134514,Drama,2010-Present
Kıvanç Baruönü,80134398,Drama,2010-Present
Yusuf Pirhasan,80134520,Drama,2010-Present
Mahsun Kırmızıgül,80134420,Drama,2010-Present
Hakan Algül,80134501,Drama,2010-Present
Kıvanç Baruönü,80134399,Drama,2010-Present
Clementine Malpas,80160127,Drama,2010-Present
Ketche,80134438,Drama,2010-Present
Erol Özlevi,80134435,Drama,2010-Present
Hakan Yonat,80134519,Drama,2010-Present
Ozan Açıktan,80134434,Drama,2010-Present
Olivier Loustau,80160357,Drama,2010-Present
Yılmaz Erdoğan,70299745,Drama,2010-Present
Yılmaz Erdoğan,80038527,Drama,2010-Present
Yılmaz Erdoğan,80038445,Drama,2010-Present
Nottapon Boonprakob,81059183,Drama,2010-Present
Perry Lang,81024332,Drama,2010-Present
Nawapol Thamrongrattanarit,81059444,Drama,2010-Present
Xavier Gens,80987464,Drama,2010-Present
Gary Wheeler,80156925,Drama,2010-Present
Ang Lee,60002907,Drama,2010-Present
Tom Edmunds,80207473,Drama,2010-Present
Brant Sersen,80990534,Drama,2010-Present
Sam Liu,70111265,Drama,2010-Present
Phil Morrison,70024098,Drama,2010-Present
Paul Katis,80071907,Drama,2010-Present
Matthew Vaughn,70020730,Drama,2010-Present
Jonathan A. Rosenbaum,80057137,Drama,2010-Present
Franck Phelizon,81045720,Drama,2010-Present
Peter Howitt,70236016,Drama,2010-Present
Matthew Atkinson,81069249,Drama,2010-Present
Rajiv Menon,81083971,Drama,2010-Present
Chiwetel Ejiofor,80200047,Drama,2010-Present
Michael Buster,80156772,Drama,2010-Present
Philip Einstein Lipski,81016361,Drama,2010-Present
Rodrigo Salomón,81055395,Drama,2010-Present
Mark Waters,70077556,Drama,2010-Present
James Toback,70100412,Drama,2010-Present
David Wain,60021299,Drama,2010-Present
Debra Granik,70129374,Drama,2010-Present
Miguel Ángel Vivas,80167647,Drama,2010-Present
Joey Curtis,80184973,Drama,2010-Present
Alison Klayman,70229921,Drama,2010-Present
Abbas Alibhai Burmawalla,70021551,Drama,2010-Present
Shikha Makan,80236167,Drama,2010-Present
Haissam Hussain,80175151,Drama,2010-Present
Mitch Gould,80232404,Drama,2010-Present
Kaizad Gustad,60036746,Drama,2010-Present
Ram Gopal Varma,60036613,Drama,2010-Present
Clay Porter,80214584,Drama,2010-Present
Mani Ratnam,17671454,Drama,2010-Present
Eeshwar Nivas,60036617,Drama,2010-Present
Hugues Nancy,80230555,Drama,2010-Present
Indra Kumar,70294790,Drama,2010-Present
Mani Ratnam,70063017,Drama,2010-Present
Satish Kaushik,60003401,Drama,2010-Present
Tim Van Someren,80224605,Drama,2010-Present
David Dhawan,70021253,Drama,2010-Present
Shawn Arranha,70138498,Drama,2010-Present
Jonathan Baker,80188099,Drama,2010-Present
K. Subhash,70025303,Drama,2010-Present
Nagesh Kukunoor,70048905,Drama,2010-Present
V. K. Prakash,80223227,Drama,2010-Present
Manish Tiwary,80223195,Drama,2010-Present
David Dhawan,80236906,Drama,2010-Present
Kranti Redkar,80238297,Drama,2010-Present
Dhilip Kumar,80235958,Drama,2010-Present
Subhash Ghai,17969262,Drama,2010-Present
Surya S.J.,80223317,Drama,2010-Present
Samir Karnik,70012334,Drama,2010-Present
Daniel Lindsay,80184131,Drama,2010-Present
Syed Ahmad Afzal,80106947,Drama,2010-Present
RZA,80082014,Drama,2010-Present
Steve Sacks,70291094,Drama,2010-Present
Mike Fetterly,70250369,Drama,2010-Present
Anees Bazmee,80223230,Drama,2010-Present
Subhash Ghai,80059049,Drama,2010-Present
Mahesh Manjrekar,60032008,Drama,2010-Present
Rajkumar Santoshi,60037397,Drama,2010-Present
Manish Gupta,80223228,Drama,2010-Present
Jeeva,70001082,Drama,2010-Present
K. Gopinathan,80238291,Drama,2010-Present
Lars Büchel,80158247,Drama,2010-Present
Krishna Vamshi,60035875,Drama,2010-Present
Dibakar Banerjee,70244982,Drama,2010-Present
Gurudev Bhalla,70065769,Drama,2010-Present
Samar Khan,70099702,Drama,2010-Present
Amit Barot,80238637,Drama,2010-Present
Adarsh Eshwarappa,80188777,Drama,2010-Present
Bejoy Nambiar,80238293,Drama,2010-Present
Carlo Padial,80132381,Drama,2010-Present
Indra Kumar,80023851,Drama,2010-Present
Ashutosh Gowariker,70019491,Drama,2010-Present
Mike Smith,70304187,Drama,2010-Present
Subhash Ghai,60001670,Drama,2010-Present
Julien Seri,80196367,Drama,2010-Present
Leena Yadav,70134669,Drama,2010-Present
Bryan Buckley,80202728,Drama,2010-Present
Keerthi,80238294,Drama,2010-Present
Abhishek Sharma,80023853,Drama,2010-Present
Gajendra Ahire,80244078,Drama,2010-Present
Gajendra Ahire,80238292,Drama,2010-Present
Buddhadev Dasgupta,80238190,Drama,2010-Present
Mike Smith,70304188,Drama,2010-Present
Mike Smith,70304186,Drama,2010-Present
Mike Clattenburg,70304189,Drama,2010-Present
Mike Clattenburg,70143440,Drama,2010-Present
Mukul Anand,20717860,Drama,2010-Present
Preston A. Whitmore II,80201833,Drama,2010-Present
Milind Dhaimade,80238295,Drama,2010-Present
Ashish R. Mohan,80223190,Drama,2010-Present
N. Chandra,70125935,Drama,2010-Present
Subhash Ghai,60021903,Drama,2010-Present
Mani Ratnam,70001564,Drama,2010-Present
Volker Arzt,80135631,Drama,2010-Present
Arne Birkenstock,70175127,Drama,2010-Present
Jonathan Taylor,80172471,Drama,2010-Present
Alessandro Pepe,80144119,Drama,2010-Present
Selvamani Selvaraj,80165917,Drama,2010-Present
Vijay Jayapal,70155788,Drama,2010-Present
Matt Wechsler,80134814,Drama,2010-Present
Hernán Belón,80103424,Drama,2010-Present
Anurag Kashyap,70285730,Drama,2010-Present
Harvey Lilley,80172469,Drama,2010-Present
Lev L. Spiro,80097530,Drama,2010-Present
Michael Polish,80092404,Drama,2010-Present
Maria Ripoll,80092850,Drama,2010-Present
Dani de la Torre,80093127,Drama,2010-Present
Oren Uziel,80103734,Drama,2010-Present
Adam Marino,81061410,Drama,2010-Present
Kurt Wimmer,60024935,Drama,2010-Present
Craig Johnson,80168189,Drama,2010-Present
Jeffrey Walker,80244709,Drama,2010-Present
Ulises Valencia,80194946,Drama,2010-Present
Gabriel Grieco,80159025,Drama,2010-Present
Federico Veiroj,81025973,Drama,2010-Present
