director,show_id,directing_style,active_years
Chris Perkel,80190588,Drama,2010-Present
Cheh Chang,70124316,Drama,2010-Present
Manny Rodriguez,70229037,Drama,2010-Present
Robert Eggers,80037280,Drama,2010-Present
Chuck Russell,80058248,Drama,2010-Present
John Erick Dowdle,70307661,Drama,2010-Present
Edgar Wright,70117312,Drama,2010-Present
Tony Elliott,80092885,Drama,2010-Present
Troy Miller,80108371,Drama,2010-Present
Louis C.K.,70129452,Drama,2010-Present
Jeremy Coon,80045805,Drama,2010-Present
Orlando von Einsiedel,80101827,Drama,2010-Present
Tom Donahue,81030342,Drama,2010-Present
Michèle Ohayon,70054723,Drama,2010-Present
Timothy Woodward Jr.,81131761,Drama,2010-Present
Nia Dinata,81016326,Drama,2010-Present
Mark O'Connor,80227777,Drama,2010-Present
Ajithkumar,81018233,Drama,2010-Present
Lucky Kuswandi,81016317,Drama,2010-Present
Riri Riza,81016337,Drama,2010-Present
Vijay Milton,81018234,Drama,2010-Present
Susannah Heath-Eves,81018241,Drama,2010-Present
Santwana Bardoloi,81018235,Drama,2010-Present
Atanu Ghosh,81018236,Drama,2010-Present
Amitava Bhattacharya,81018237,Drama,2010-Present
Partha Chakraborty,81018238,Drama,2010-Present
Raffi Ahmad,81016339,Drama,2010-Present
Angelina Jolie,80067522,Drama,2010-Present
Pavel Parkhomenko,80192149,Drama,2010-Present
Azfar Jafri,80142637,Drama,2010-Present
R. Ellis Frazier,80192014,Drama,2010-Present
R. Ellis Frazier,80192015,Drama,2010-Present
Yance Ford,80168230,Drama,2010-Present
Mark Tonderai,80202129,Drama,2010-Present
Roman Atwood,80088910,Drama,2010-Present
Dan Forrer,70290909,Drama,2010-Present
Kip Andersen,80033772,Drama,2010-Present
B. V. Nandini Reddy,81093951,Drama,2010-Present
Randall Lobb,80238013,Drama,2010-Present
Stacie Passon,81089941,Drama,2010-Present
Manop Janjarasskul,81000011,Drama,2010-Present
Shinsuke Sato,80217733,Drama,2010-Present
Chatchai Katenut,80999985,Drama,2010-Present
Ariel Vromen,80188120,Drama,2010-Present
Nicole Holofcener,80164779,Drama,2010-Present
Jerry G. Angelo,81092328,Drama,2010-Present
Michael Feifer,81183572,Drama,2010-Present
Elle Callahan,81037283,Drama,2010-Present
Alex Stapleton,80244973,Drama,2010-Present
Kıvanç Baruönü,81132438,Drama,2010-Present
Teng Huatao,81161230,Drama,2010-Present
Nzingha Stewart,81002412,Drama,2010-Present
Mark Dennis,81023636,Drama,2010-Present
Ben Wallis,80198046,Drama,2010-Present
Dan Krauss,80106307,Drama,2010-Present
David Soren,70267728,Drama,2010-Present
Alessio Cremonini,81001000,Drama,2010-Present
Elaine McMillion Sheldon,80192445,Drama,2010-Present
Michael Simon,80158670,Drama,2010-Present
Joram Lürsen,80244019,Drama,2010-Present
Oliver Frampton,80162143,Drama,2010-Present
Mike Binder,81060174,Drama,2010-Present
Ryan Murphy,70130445,Drama,2010-Present
Orlando von Einsiedel,80216928,Drama,2010-Present
Mark Franchetti,81001494,Drama,2010-Present
Damián Romay,80991570,Drama,2010-Present
Trent Haaga,80184129,Drama,2010-Present
Mary Harron,60000861,Drama,2010-Present
Roger Donaldson,1151375,Drama,2010-Present
Petra Costa,81137484,Drama,2010-Present
Steven C. Miller,80187228,Drama,2010-Present
Richard Miron,81031008,Drama,2010-Present
Tony Leondis,70099119,Drama,2010-Present
Roger Kumble,70039185,Drama,2010-Present
Kunle Afolayan,81165769,Drama,2010-Present
Craig Gillespie,70056433,Drama,2010-Present
Nick Cassavetes,70113003,Drama,2010-Present
Clint Eastwood,60031232,Drama,2010-Present
Kunle Afolayan,80032842,Drama,2010-Present
Petra Costa,81137482,Drama,2010-Present
Roger Allers,70043308,Drama,2010-Present
Kunle Afolayan,81165771,Drama,2010-Present
Wolfgang Petersen,70044697,Drama,2010-Present
Jonathan Demme,70105368,Drama,2010-Present
Bernie Denk,81141689,Drama,2010-Present
Ivan Reitman,1008581,Drama,2010-Present
Greg Mottola,70058023,Drama,2010-Present
Kunle Afolayan,81165786,Drama,2010-Present
Kunle Afolayan,81165770,Drama,2010-Present
Alejandro Agresti,70043303,Drama,2010-Present
Daniel Stamm,70136074,Drama,2010-Present
Phillip Noyce,1153194,Drama,2010-Present
Tony Scott,70112730,Drama,2010-Present
Ahmed Zain,81158575,Drama,2010-Present
Mohamed Hamdy,81065786,Drama,2010-Present
Dennis Dugan,70087541,Drama,2010-Present
Peter Ho,81004113,Drama,2010-Present
Jordi Llompart,81003984,Drama,2010-Present
Rian Johnson,70024088,Drama,2010-Present
Olivier Marchal,81005312,Drama,2010-Present
Dennis Iliadis,80082969,Drama,2010-Present
Qaushiq Mukherjee,80994130,Drama,2010-Present
Sudip Bandyopadhyay,81019924,Drama,2010-Present
Onir,81018240,Drama,2010-Present
Jatla Siddartha,81013710,Drama,2010-Present
Jeremy Saulnier,70077076,Drama,2010-Present
Kanwal Sethi,81014988,Drama,2010-Present
Banjong Pisanthanakun,80102950,Drama,2010-Present
Alfonso Cuarón,70055221,Drama,2010-Present
Samuel Jouy,81005314,Drama,2010-Present
Akiva Goldsman,80242828,Drama,2010-Present
Damien Leone,81004223,Drama,2010-Present
Karen Moncrieff,80198730,Drama,2010-Present
Jean-Pierre Devillers,80999945,Drama,2010-Present
Sophon Sakdaphisit,81016043,Drama,2010-Present
Curtis Hanson,17672040,Drama,2010-Present
Young Jun Lee,81011096,Drama,2010-Present
Rajiv Mehra,20254278,Drama,2010-Present
Toshiyuki Kubooka,70276596,Drama,2010-Present
Toshiyuki Kubooka,80063025,Drama,2010-Present
Todd S. Yellin,70068739,Drama,2010-Present
Jesse Adang,80184974,Drama,2010-Present
Rajiv Mehra,80156941,Drama,2010-Present
Elizabeth Chai Vasarhelyi,80061314,Drama,2010-Present
Toshiya Shinohara,70052492,Drama,2010-Present
Toshiya Shinohara,70036200,Drama,2010-Present
Toshiya Shinohara,70018513,Drama,2010-Present
Mohammed Hussain,80158480,Drama,2010-Present
Eli Craig,80139506,Drama,2010-Present
Parambrata Chatterjee,80205314,Drama,2010-Present
Shammi Kapoor,80158545,Drama,2010-Present
Umesh Mehra,80156939,Drama,2010-Present
Masahiko Murata,80152537,Drama,2010-Present
Masahiko Murata,80045673,Drama,2010-Present
Masahiko Murata,70275937,Drama,2010-Present
Hirotsugu Kawasaki,70101321,Drama,2010-Present
Toshiyuki Tsuru,70108386,Drama,2010-Present
Tensai Okamura,70074559,Drama,2010-Present
Florian Schnell,80162197,Drama,2010-Present
Josh Izenberg,80184055,Drama,2010-Present
Thierry Demaizière,80160358,Drama,2010-Present
Spike Lee,60034929,Drama,2010-Present
Latif Faiziyev,80157134,Drama,2010-Present
Gastón Duprat,80141891,Drama,2010-Present
Bette Gordon,80183897,Drama,2010-Present
Gary Wang,80177834,Drama,2010-Present
Raz Degan,80121855,Drama,2010-Present
Israel Adrián Caetano,80168028,Drama,2010-Present
Mariano Cohn,80190990,Drama,2010-Present
Drew Stone,80173269,Drama,2010-Present
Joram Lürsen,80106140,Drama,2010-Present
Jelle de Jonge,80106137,Drama,2010-Present
Afia Nathaniel,80114155,Drama,2010-Present
Luke Jurevicius,80118841,Drama,2010-Present
Sean Cisterna,80102579,Drama,2010-Present
Will Allen,80097438,Drama,2010-Present
Nacho G. Velilla,80114419,Drama,2010-Present
David Serrano,80103426,Drama,2010-Present
Jay Chapman,70278877,Drama,2010-Present
Jenny Gage,80244311,Drama,2010-Present
Kaila York,81183570,Drama,2010-Present
Ifa Isfansyah,81016328,Drama,2010-Present
Stan Lathan,80239503,Drama,2010-Present
Angga Dwimas Sasongko,81016321,Drama,2010-Present
Evgeny Afineevsky,80031666,Drama,2010-Present
Ryan Polito,80995737,Drama,2010-Present
Kabir Bhatia,81020161,Drama,2010-Present
Russell Crowe,80025390,Drama,2010-Present
Andrew Sandler,80196216,Drama,2010-Present
Ava DuVernay,80091741,Drama,2010-Present
Dave Higby,80115464,Drama,2010-Present
Richie Smyth,80041653,Drama,2010-Present
Andibachtiar Yusuf,81016338,Drama,2010-Present
Dustin Nguyen,81002592,Drama,2010-Present
Chris Eigeman,81017724,Drama,2010-Present
Stanley Tong,80170301,Drama,2010-Present
David France,80189623,Drama,2010-Present
Vandana Kataria,81177367,Drama,2010-Present
Angga Dwimas Sasongko,81016323,Drama,2010-Present
Riri Riza,81016318,Drama,2010-Present
Olaf de Fleur,80242081,Drama,2010-Present
Tamara Jenkins,80168222,Drama,2010-Present
Onur Bilgetay,81158574,Drama,2010-Present
Vincenzo Natali,80237905,Drama,2010-Present
Tugçe Soysop,81132440,Drama,2010-Present
Jacob Joice,81021243,Drama,2010-Present
Craig Goodwill,81004460,Drama,2010-Present
Riri Riza,81016330,Drama,2010-Present
Mickey Liddell,70105130,Drama,2010-Present
Michael D. Black,80141858,Drama,2010-Present
Juani Libonatti,81084225,Drama,2010-Present
DJ Chen,80203920,Drama,2010-Present
Dani de la Torre,80199806,Drama,2010-Present
Jerrold Tarog,80084834,Drama,2010-Present
Judah Friedlander,80208273,Drama,2010-Present
Errol Morris,80145699,Drama,2010-Present
Oliver Blackburn,70266684,Drama,2010-Present
Park Joon-hwa,81166978,Drama,2010-Present
Saravana Rajendran,81177371,Drama,2010-Present
Onir,70067230,Drama,2010-Present
Jitendra Tiwari,80207446,Drama,2010-Present
Vivek Wagh,80207447,Drama,2010-Present
Riri Riza,81016324,Drama,2010-Present
Alex Israel,80192097,Drama,2010-Present
Lee Fulkerson,70185045,Drama,2010-Present
Joe Camp,70002129,Drama,2010-Present
Kavi Raz,80191963,Drama,2010-Present
Nick Simon,80218099,Drama,2010-Present
Don Mancini,80199767,Drama,2010-Present
Brandon Jones,80191665,Drama,2010-Present
Alain Desrochers,80161921,Drama,2010-Present
Brian Volk-Weiss,81148672,Drama,2010-Present
Deniz Gamze Ergüven,80224362,Drama,2010-Present
Robert Vince,80092857,Drama,2010-Present
Everardo González,80244679,Drama,2010-Present
Matt Kay,81110394,Drama,2010-Present
Drake Doremus,80067754,Drama,2010-Present
Robert Vince,80189954,Drama,2010-Present
Osgood Perkins,80094648,Drama,2010-Present
Werner Herzog,80066073,Drama,2010-Present
Julien Rambaldi,80123740,Drama,2010-Present
Yvan Attal,80123741,Drama,2010-Present
Benjamin Weill,80123742,Drama,2010-Present
Scott Hussion,81000863,Drama,2010-Present
Wilson Yip,70082255,Drama,2010-Present
Griffin Dunne,80117454,Drama,2010-Present
Roger Gual,80095197,Drama,2010-Present
J. Davis,80045783,Drama,2010-Present
Rob Smat,81123469,Drama,2010-Present
Tinge Krishnan,80211622,Drama,2010-Present
Aleksey German,80990221,Drama,2010-Present
Eric Zaragosa,80202352,Drama,2010-Present
Sergio Barrejón,80235268,Drama,2010-Present
Sandi Tan,80241061,Drama,2010-Present
Vijay Yelakanti,81025088,Drama,2010-Present
Katherine Dieckmann,80173479,Drama,2010-Present
Natalie Portman,80081372,Drama,2010-Present
John Murlowski,81136744,Drama,2010-Present
Ozan Açıktan,81132444,Drama,2010-Present
Craig Brewer,80182014,Drama,2010-Present
Billy Lyons,81078456,Drama,2010-Present
Michael Steed,81121023,Drama,2010-Present
Zak Hilditch,81018455,Drama,2010-Present
Michael Steiner,81110383,Drama,2010-Present
Vlad Yudin,81018183,Drama,2010-Present
Paul Berczeller,80219941,Drama,2010-Present
Quentin Tarantino,80064515,Drama,2010-Present
Chris Buck,80062011,Drama,2010-Present
Andrew Slater,81034741,Drama,2010-Present
Glen Goei,81075461,Drama,2010-Present
S.S. Rajamouli,80205231,Drama,2010-Present
Brian Klein,80158919,Drama,2010-Present
Katy Chevigny,70299286,Drama,2010-Present
Sarik Andreasyan,80017261,Drama,2010-Present
Huw Cordey,80186796,Drama,2010-Present
Yuen Woo-ping,81071891,Drama,2010-Present
Steve Brill,80224536,Drama,2010-Present
Don Michael Paul,80994444,Drama,2010-Present
Noah Baumbach,80017286,Drama,2010-Present
Jonathan Mostow,70295169,Drama,2010-Present
Brett Haley,80039050,Drama,2010-Present
Gillian Robespierre,81027753,Drama,2010-Present
Tobe Hooper,15815343,Drama,2010-Present
Daniel Benmayor,70295176,Drama,2010-Present
Abu Bakr Shawky,81043190,Drama,2010-Present
Jedd Wider,80131240,Drama,2010-Present
Nagesh Kukunoor,70170182,Drama,2010-Present
Priyadarshan,70082633,Drama,2010-Present
Raj Kanwar,70049619,Drama,2010-Present
Pooja Bhatt,80211135,Drama,2010-Present
Satish Kaushik,70109884,Drama,2010-Present
Nikhil Advani,70176967,Drama,2010-Present
Anees Bazmee,70198040,Drama,2010-Present
Andrew Bujalski,80038442,Drama,2010-Present
Ben Wheatley,80091310,Drama,2010-Present
Riri Riza,70114484,Drama,2010-Present
Anthony Giordano,80117443,Drama,2010-Present
Wyatt Cenac,80010717,Drama,2010-Present
Joanna Lombardi,81020005,Drama,2010-Present
David Batty,81035748,Drama,2010-Present
Zak Hilditch,80135164,Drama,2010-Present
Jennifer Siebel Newsom,70167128,Drama,2010-Present
Heidi Ewing,80118101,Drama,2010-Present
Jeremy Rush,80113669,Drama,2010-Present
Luis Javier Henaine,81094801,Drama,2010-Present
Anand Kamalakar,81191195,Drama,2010-Present
Don Michael Paul,80218973,Drama,2010-Present
Eric Idle,80235999,Drama,2010-Present
Anthony Giordano,80215419,Drama,2010-Present
Will Yapp,70118860,Drama,2010-Present
Eric Idle,80017240,Drama,2010-Present
Will Yapp,70118859,Drama,2010-Present
Terry Hughes,80236778,Drama,2010-Present
Roger Graef,80236470,Drama,2010-Present
Terry Jones,699257,Drama,2010-Present
Ian MacNaughton,80236574,Drama,2010-Present
Albert Sharpe,80988048,Drama,2010-Present
Leslye Headland,80039069,Drama,2010-Present
Jay Karas,80046779,Drama,2010-Present
Prakash Satam,80995687,Drama,2010-Present
Barry Sonnenfeld,60001650,Drama,2010-Present
Omoni Oboli,81172848,Drama,2010-Present
Thomas Vinterberg,81034575,Drama,2010-Present
Marcos Bucay,80226951,Drama,2010-Present
Peter Lepeniotis,80232279,Drama,2010-Present
Kim Jee-woon,80239666,Drama,2010-Present
Rajesh Touchriver,81011973,Drama,2010-Present
David Lam,80144152,Drama,2010-Present
David Batty,81035749,Drama,2010-Present
David Batty,81035750,Drama,2010-Present
David Batty,81035751,Drama,2010-Present
Timo Tjahjanto,80148162,Drama,2010-Present
Reem Kherici,80171705,Drama,2010-Present
Adze Ugah,81172729,Drama,2010-Present
Steve Gukas,81172895,Drama,2010-Present
Ciarán Foy,80206910,Drama,2010-Present
Frank Rajah Arase,81172905,Drama,2010-Present
Yılmaz Erdoğan,81132442,Drama,2010-Present
Tope Oshin,81172723,Drama,2010-Present
Daniel Sánchez Arévalo,80990336,Drama,2010-Present
Don Omope,81172909,Drama,2010-Present
Ed Perkins,80214706,Drama,2010-Present
Steven Soderbergh,80994011,Drama,2010-Present
Tope Oshin,81172902,Drama,2010-Present
Udai Singh Pawar,80998890,Drama,2010-Present
Guntur Soeharjanto,81047903,Drama,2010-Present
Thiru,81026343,Drama,2010-Present
Federico Lemos,80208635,Drama,2010-Present
Harald Zwart,70125931,Drama,2010-Present
Bruce McDonald,70235768,Drama,2010-Present
Bobcat Goldthwait,80177406,Drama,2010-Present
Bassam Tariq,81081656,Drama,2010-Present
Leslie Iwerks,81187847,Drama,2010-Present
Kim Joo-hyung,81053240,Drama,2010-Present
Ciarán Foy,80043834,Drama,2010-Present
Louie Psihoyos,81157840,Drama,2010-Present
Tom Forrest,80244900,Drama,2010-Present
Milan Luthria,80211134,Drama,2010-Present
John Crowley,70271601,Drama,2010-Present
